day,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
2025-11-23,1.323912839177873,1.0,0.04090718842708098,1.0,1.0
2025-11-28,0.04121932813246754,1.0,1.138296051710155,1.0,1.0
2025-12-03,0.6825660836551702,1.0,1.2896600328526484,1.0,1.0
2025-12-10,-0.2046302614845685,1.0,-1.1605444118914574,1.0,1.0
2025-12-16,-0.087050022972073,1.0,-1.0943226701416167,1.0,1.0
2025-12-18,-0.30676727819408806,1.0,0.21867131118452257,1.0,1.0
2025-12-21,-2.22723850604168,1.0,0.7168537002829858,1.0,1.0
2025-12-28,-0.548993252079206,1.9770173318984152,1.046842116519105,0.2631235173461347,2.0
2025-12-29,-0.5105422139046014,0.9249997432682814,0.19849877952288408,0.3757198261990951,4.0
2025-12-30,0.08397577850064772,1.0,-1.0564816748559933,1.0,1.0
2025-12-31,0.9638363822175248,1.0,0.8119065462088825,1.0,1.0
2026-01-03,0.6540617834097169,1.0,0.04090718842708098,1.0,1.0
2026-01-04,-0.589865879301872,1.0,-0.9626360065476477,1.0,1.0
2026-01-07,0.5065286985632509,1.0,1.0423938011344551,1.0,1.0
2026-01-08,0.9391047858642513,1.0,0.6085221177114297,1.0,1.0
2026-01-09,0.26277548004031026,1.0,-0.3461029906304295,1.0,1.0
2026-01-10,0.7462331952571761,0.3868756751991396,0.6978057525427298,0.4400600858361454,2.0
2026-01-11,2.158565866905539,1.0,0.7168537002829858,1.0,1.0
2026-01-12,-0.10034284460111427,0.6493331170747025,0.10294192537791025,0.4554197724300363,3.0
2026-01-15,-0.47185807628569454,0.5442007679065126,-0.22397977857228185,1.3913964674122437,2.0
2026-01-16,0.4092305941374081,1.0,-0.5914114242286902,1.0,1.0
2026-01-19,0.4273272986369,1.0,0.9306011561981196,1.0,1.0
2026-01-20,1.3333498333233382,0.893655354735635,1.1101305945253843,0.25389296652764115,2.0
2026-01-21,-1.7835415517797826,1.0,1.814228260221399,1.0,1.0
2026-01-23,-0.07604176920808028,0.353236915336573,0.8481439008391273,1.1289354934170448,4.0
2026-01-24,-0.0557284792502199,0.8568750872622509,-0.6781053984190322,0.45906048987707826,5.0
2026-01-25,0.04041484872428771,0.3060265658042381,-0.38366581857464405,0.9586440779748723,3.0
2026-01-26,0.4262788394394348,0.48209876098993193,-0.22230192880104024,0.24710494880316036,3.0
2026-01-27,0.4154930474800543,0.5404091080617197,0.5666963155420692,0.17456904110633836,2.0
2026-01-28,-0.7848963736241567,0.04966911770575322,1.4464298704645162,0.9556294419040138,2.0
2026-01-29,2.158565866905539,1.0,0.18248506049515065,1.0,1.0
2026-01-30,0.46117694128459874,0.894921160622534,0.2009937127482786,1.0413199402362963,3.0
2026-01-31,-0.16500080524989838,0.43319265580173366,-0.10251762028876721,1.0722337182453052,4.0
2026-02-01,0.11966849305445364,1.144046706773481,0.21787033280203164,1.386587329105379,5.0
2026-02-02,-0.5421324561776316,0.5102748299666833,0.7006680288147492,0.8512004119263923,6.0
2026-02-03,0.2569955571487701,0.0924069528680297,0.0014357183576414467,0.5233755345561107,3.0
2026-02-04,-1.5364936904533812,0.12698017917818627,1.4145353172952053,1.1398747983031077,2.0
2026-02-05,2.193293996664203,1.0,1.100455056424532,1.0,1.0
2026-02-06,-0.19963710583551433,0.32118669379139286,-1.2027211902969892,0.6406696727159482,2.0
2026-02-07,0.3638433360966534,0.4585917765993119,0.141114943561561,0.49191873916950823,4.0
2026-02-08,-2.6576497348624164,1.0,2.266341345673342,1.0,1.0
2026-02-09,0.2410624361744916,0.8609606828276113,-0.6644816352783576,0.8257979126799312,5.0
2026-02-10,0.2920254513983782,0.18950734685764362,0.11602062816337633,1.1016100718787833,2.0
2026-02-11,-1.9191947442106365,2.3230565045667797,0.7895783157145472,1.5025507305677577,4.0
2026-02-12,0.8268691036477782,1.3680602637649832,-0.2854713959114196,1.478358746625509,2.0
2026-02-13,0.03171789471731631,1.3144727487295873,0.6106243952272977,1.0876741786617818,3.0
2026-02-14,-0.16653268297159116,0.9383944523186585,-0.5402560665489301,1.2438068897655201,3.0
2026-02-15,-0.8164777305338079,1.9305787448290044,0.8490999568080362,0.9462966042016902,3.0
2026-02-16,0.05337789752560711,0.5537717957092717,0.23720759180536433,0.5669555081582978,4.0
2026-02-17,1.009190382539937,0.7517422335075599,0.5757452381519624,1.029464059314777,3.0
2026-02-18,-0.22035183923262402,0.15548632025857823,-1.0685116258405098,0.6667026302228516,4.0
2026-02-19,-0.08979881998217641,0.23797962194655123,-1.8836849441976085,0.7417200923692782,2.0
2026-02-20,0.06710508478864341,0.5876469100629101,-0.1802312603311572,0.6434363076239898,3.0
2026-02-21,2.158565866905539,1.0,1.8924647078162233,1.0,1.0
2026-02-22,-0.29470177845453754,0.7423261687280596,-0.5954639427489287,0.5336336100391437,3.0
2026-02-23,0.5192179649443249,1.1105394213190143,-0.22337209128283533,0.8402772991379235,6.0
2026-02-24,0.15004319579202702,0.7322669750916794,0.2896350657619754,0.2854050560175642,5.0
2026-02-25,0.0802866078378118,1.1418768635703276,-0.004587091324430803,0.6850800401857923,5.0
2026-02-27,-0.01578564266206057,0.18945735640160646,-0.35536933007314475,2.262204537055679,2.0
2026-02-28,-0.23142245278670745,1.0,0.14656711032849656,1.0,1.0
2026-03-01,-0.7905189404355368,1.0,-0.8004657816860117,1.0,1.0
2026-03-03,-1.1987177325447578,1.0,-0.22397977857228185,1.0,1.0
2026-03-05,-0.6001274273902351,1.0,-1.0132348231009953,1.0,1.0
